Employment,Employed
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Student, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Independent contractor, freelancer, or self-employed",1
"Student, full-time;Not employed, but looking for work",0
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Not employed, but looking for work",0
"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",1
"Employed, full-time;Student, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Independent contractor, freelancer, or self-employed;Employed, part-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, part-time",0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Student, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
I prefer not to say,0
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
I prefer not to say,0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",1
"Independent contractor, freelancer, or self-employed",1
"Student, full-time;Employed, part-time",1
"Not employed, and not looking for work",0
"Employed, full-time",1
"Not employed, and not looking for work",0
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Student, full-time;Employed, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Not employed, but looking for work",0
"Employed, full-time",1
"Student, full-time",0
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, part-time",1
"Employed, full-time;Student, full-time",1
"Student, full-time;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Student, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Not employed, but looking for work",0
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
Retired,0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Student, part-time",0
"Employed, full-time",1
"Not employed, but looking for work",0
"Employed, full-time",1
"Student, full-time;Employed, part-time",1
"Not employed, but looking for work",0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Student, part-time",0
"Not employed, but looking for work",0
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time;Employed, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Student, full-time",0
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, part-time",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Employed, full-time",1
"Student, full-time",0
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Student, full-time",0
"Employed, full-time",1
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time;Student, part-time",1
"Employed, full-time",1
"Student, full-time;Employed, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time;Not employed, but looking for work",0
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Student, full-time",0
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Student, full-time",0
"Employed, full-time;Student, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Not employed, and not looking for work",0
"Employed, full-time",1
"Student, full-time",0
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Student, full-time",0
Retired,0
"Independent contractor, freelancer, or self-employed",1
"Student, full-time",0
"Employed, full-time",1
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",1
"Independent contractor, freelancer, or self-employed;Employed, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Employed, full-time",1
"Student, part-time",0
"Student, full-time",0
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Employed, full-time",1
"Student, part-time",0
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",1
"Employed, full-time",1
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Student, full-time",0
"Employed, full-time",1
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",1
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Student, full-time;Employed, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Not employed, but looking for work",0
"Employed, full-time",1
"Employed, full-time",1
"Student, part-time",0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work;Student, part-time",0
"Employed, full-time",1
"Student, full-time",0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed;Student, part-time",1
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time;Not employed, but looking for work",0
"Not employed, and not looking for work",0
"Employed, full-time",1
"Independent contractor, freelancer, or self-employed",1
"Student, full-time",0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time",1
"Student, full-time",0
"Employed, full-time",1
"Student, part-time",0
"Employed, full-time",1
"Employed, full-time",1
"Not employed, but looking for work",0
"Employed, full-time;Student, part-time",1
"Independent contractor, freelancer, or self-employed",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Employed, part-time",1
"Student, full-time;Not employed, but looking for work",0
"Employed, full-time",1
"Employed, full-time",1
"Employed, full-time;Independent contractor, freelancer, or self-employed",1
"Independent contractor, freelancer, or self-employed",1
